Year,Distance,Engine_capacity(cm3),km_year
2009,215000,1595,16538
2021,2700,2497,2700
2008,168000,1800,12000
2016,52313,2000,8718
2012,98281,1400,9828
2012,189254,1200,18925
1993,390000,1997,13448
1993,250000,2000,8620
2008,213000,1600,15214
2006,300000,1500,18750
2000,2508,2500,114
2014,136000,4500,17000
2016,139500,1500,23250
2015,112000,4950,16000
2000,407500,1400,18522
2008,132000,1600,9428
2018,51000,1400,12750
2012,148000,1400,14800
2018,15000,2000,3750
2016,106068,1500,17678
2016,237000,2000,39500
2016,88000,1999,14666
2012,235000,1600,23500
2004,120000,1493,6666
2016,50000,1950,8333
2014,36000,3000,4500
2012,135008,1400,13500
1993,980000,1300,33793
2013,140000,2000,15555
2003,241000,1600,12684
2012,200000,2000,20000
2009,214000,1300,16461
2006,295800,1400,18487
1992,12345,1800,411
2002,287656,1800,14382
2003,249574,1995,13135
2009,117000,1400,9000
2009,295000,1600,22692
2018,29320,3000,7330
2015,162000,1500,23142
2005,230000,2200,13529
2007,165000,1598,11000
2005,20000,1200,1176
1991,250000,2000,8064
2014,144587,1600,18073
2017,95459,1580,19091
1998,401401,2000,16725
2016,165400,1500,27566
2011,190000,1400,17272
2015,156000,2000,22285
2010,171618,3000,14301
2011,188000,2000,17090
1991,80000,1400,2580
2003,397860,2200,20940
2013,159745,1000,17749
2014,194000,1991,24250
2007,265000,4200,17666
2007,10647,2400,709
2018,141700,1500,35425
2014,212111,1600,26513
2006,154000,1400,9625
2017,5000,2500,1000
2000,150000,1400,6818
2004,212000,1600,11777
2008,195000,1900,13928
2011,2000,1200,181
2005,216381,2500,12728
2018,51000,2500,12750
2014,175489,1500,21936
2005,400000,1800,23529
1996,190000,3000,7307
2011,123000,1600,11181
2018,12000,3000,3000
2014,160753,3000,20094
2012,187317,2200,18731
1996,87000,1600,3346
2011,158000,3000,14363
2005,280000,1400,16470
2001,209000,1800,9952
2011,186000,1500,16909
2017,201000,1500,40200
1994,178000,1800,6357
2005,235000,3300,13823
1990,25578,1800,799
2007,270000,1598,18000
1992,200000,1999,6666
2018,62000,1998,15500
2003,240000,1400,12631
2011,110000,1200,10000
2012,162000,2000,16200
2005,250000,2500,14705
2000,200000,1600,9090
2004,280000,2000,15555
2012,138000,2191,13800
2001,470000,3200,22380
2009,268000,1600,20615
2019,27000,1598,9000
2015,159000,2494,22714
2013,237000,2200,26333
1992,123000,1300,4100
2017,108000,2157,21600
2011,185000,1248,16818
2004,366951,2200,20386
2006,215800,2000,13487
2017,20000,2000,4000
2014,122000,1800,15250
2007,199124,1300,13274
2006,17600,1600,1100
2008,208000,1600,14857
1994,200000,1400,7142
2012,165500,1200,16550
2017,35351,1000,7070
2004,290000,2500,16111
2018,44000,2000,11000
2013,165000,3000,18333
2002,300000,2000,15000
2017,163543,1400,32708
2013,78000,1000,8666
1995,230000,1600,8518
2006,415000,3000,25937
2016,176500,2000,29416
2014,204352,2000,25544
2012,150000,1200,15000
2011,181523,1396,16502
2013,190000,1500,21111
2012,2288,1500,228
2014,155000,1400,19375
2017,138000,2000,27600
2013,150000,1461,16666
2016,90000,1400,15000
2016,50000,1950,8333
2014,37000,1600,4625
2005,310000,2200,18235
1996,380000,3100,14615
2018,100000,1500,25000
2018,91600,2000,22900
2019,4496,2000,1498
2014,68000,1596,8500
2013,83500,1800,9277
2009,252300,3000,19407
2012,140000,1200,14000
2012,190635,1598,19063
2002,300000,3000,15000
2012,205000,1796,20500
2008,224920,1600,16065
2011,230000,2200,20909
2013,129000,1499,14333
2001,400000,1951,19047
2005,156000,1400,9176
2005,265000,3000,15588
2011,207000,1500,18818
2015,90000,2000,12857
1989,200000,1100,6060
2005,232112,2987,13653
2016,129300,1461,21550
2010,127000,3000,10583
2000,317000,1600,14409
2007,193500,4700,12900
1995,330000,2998,12222
2014,140000,1500,17500
2008,115000,2000,8214
2017,166113,1999,33222
2016,113000,1600,18833
2008,216800,1300,15485
2005,274000,1968,16117
2015,120000,1400,17142
2003,264000,1800,13894
2013,173500,1400,19277
2006,145000,4500,9062
2004,152000,1500,8444
2017,166000,2000,33200
2014,186545,2400,23318
2016,164784,2200,27464
2012,176815,2000,17681
2006,221448,2200,13840
2017,93000,1997,18600
1998,267000,2000,11125
2011,138000,1998,12545
2006,322783,1300,20173
2012,204000,2000,20400
2006,220000,1800,13750
2011,170200,1200,15472
2015,210676,2000,30096
2000,368000,2200,16727
2016,99000,1969,16500
