Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,mileage,Engine_class
Toyota,Prius,2011,Hatchback,195000,1800,Hybrid,Automatic,7750,11,17727,medium,Mid-capacity
Renault,Grand Scenic,2014,Universal,135000,1500,Diesel,Manual,8550,8,16875,medium,Low-capacity
Renault,Laguna,2012,Universal,110000,1500,Diesel,Manual,6550,10,11000,medium,Low-capacity
Opel,Astra,2006,Universal,200000,1600,Metan/Propan,Manual,4100,16,12500,medium,Low-capacity
Mercedes,Vito,2000,Microvan,300000,2200,Diesel,Manual,3490,22,13636,medium,Mid-capacity
Volkswagen,Passat,2010,Universal,290000,1390,Petrol,Manual,5600,12,24166,high,Low-capacity
Volkswagen,Touareg,2010,SUV,220000,2400,Diesel,Automatic,17000,12,18333,medium,Mid-capacity
Mercedes,Series (W124),1991,Sedan,240000,2300,Petrol,Manual,2850,31,7741,low,Mid-capacity
Mercedes,E Class,2010,Sedan,210000,2200,Diesel,Automatic,11400,12,17500,medium,Mid-capacity
Mercedes,CLS Class,2006,Coupe,300000,3200,Diesel,Automatic,11800,16,18750,medium,Mid-capacity
BMW,7 Series,1998,Sedan,285000,3500,Petrol,Manual,3990,24,11875,medium,Large-capacity
Volkswagen,Golf,2007,Universal,238371,1400,Petrol,Automatic,5000,15,15891,medium,Low-capacity
Volkswagen,Golf Plus,2010,Hatchback,150000,1200,Petrol,Manual,5500,12,12500,medium,Low-capacity
Volvo,XC60,2012,Crossover,180000,2400,Diesel,Automatic,15900,10,18000,medium,Mid-capacity
Nissan,Qashqai,2011,Crossover,251000,1500,Diesel,Manual,8300,11,22818,high,Low-capacity
Hyundai,Matrix,2005,Universal,383000,1500,Diesel,Manual,3200,17,22529,high,Low-capacity
Audi,A3,2009,Hatchback,248000,2000,Diesel,Automatic,9299,13,19076,high,Mid-capacity
Mercedes,E Class,2004,Universal,315000,1800,Metan/Propan,Manual,6900,18,17500,medium,Mid-capacity
GAZ,31029,1992,Sedan,68000,2445,Petrol,Manual,2222,30,2266,low,Mid-capacity
Renault,Megane,2011,Universal,171000,1500,Diesel,Manual,5700,11,15545,medium,Low-capacity
Mercedes,E Class,2014,Sedan,275500,2200,Diesel,Automatic,18350,8,34437,high,Mid-capacity
Lincoln,MKZ,2017,Sedan,157000,1998,Hybrid,Automatic,17800,5,31400,high,Mid-capacity
Lexus,NX Series,2017,Crossover,76000,1998,Petrol,Automatic,27999,5,15200,medium,Mid-capacity
Dodge,Caliber,2008,Hatchback,113486,1998,Metan/Propan,Automatic,4495,14,8106,low,Mid-capacity
Audi,100,1993,Sedan,235000,2000,Petrol,Manual,2950,29,8103,low,Mid-capacity
Porsche,Cayenne,2012,Crossover,253444,3000,Diesel,Automatic,30222,10,25344,high,Mid-capacity
Lexus,RX Series,2009,SUV,250000,3500,Hybrid,Automatic,17990,13,19230,high,Large-capacity
Volkswagen,Passat,2012,Sedan,179000,1400,Metan/Propan,Automatic,9800,10,17900,medium,Low-capacity
BMW,X1,2015,Crossover,169777,2000,Diesel,Automatic,16888,7,24253,high,Mid-capacity
Mercedes,GLC Coupe,2017,Crossover,71333,2500,Diesel,Automatic,43404,5,14266,medium,Mid-capacity
Opel,Vectra,1994,Sedan,340000,1800,Petrol,Manual,1500,28,12142,medium,Mid-capacity
BMW,7 Series,2007,Sedan,300000,3000,Diesel,Automatic,11500,15,20000,high,Mid-capacity
Volkswagen,Passat,2010,Universal,228000,1400,Metan/Propan,Automatic,5700,12,19000,medium,Low-capacity
Toyota,Auris,2010,Sedan,185000,1400,Diesel,Manual,6500,12,15416,medium,Low-capacity
Nissan,Qashqai,2009,Hatchback,200415,1500,Diesel,Manual,6200,13,15416,medium,Low-capacity
BMW,3 Series,2016,Minivan,136000,2000,Diesel,Automatic,13200,6,22666,high,Mid-capacity
BMW,5 Series,2003,Sedan,250000,3000,Petrol,Automatic,7490,19,13157,medium,Mid-capacity
Dacia,Logan,2014,Sedan,195000,1200,Metan/Propan,Manual,3999,8,24375,high,Low-capacity
Dacia,Duster,2015,SUV,170000,1500,Diesel,Manual,8800,7,24285,high,Low-capacity
Volkswagen,Golf,2010,Universal,191500,1400,Petrol,Manual,5700,12,15958,medium,Low-capacity
Volkswagen,Passat,1991,Sedan,292000,1800,Petrol,Manual,1150,31,9419,low,Mid-capacity
BMW,3 Series,2004,Sedan,250000,2000,Diesel,Manual,4499,18,13888,medium,Mid-capacity
Nissan,Qashqai,2015,Crossover,158000,1500,Diesel,Manual,11750,7,22571,high,Low-capacity
Peugeot,3008,2018,Crossover,132000,1500,Diesel,Automatic,16500,4,33000,high,Low-capacity
BMW,X5,2005,SUV,260500,3000,Petrol,Automatic,8999,17,15323,medium,Mid-capacity
Renault,Megane,2005,Universal,11111,1500,Diesel,Manual,3200,17,653,low,Low-capacity
Nissan,Qashqai,2013,SUV,180000,1500,Diesel,Manual,8999,9,20000,high,Low-capacity
Ford,Transit Connect,2012,Minivan,151658,1800,Diesel,Manual,3899,10,15165,medium,Mid-capacity
Renault,Scenic,2015,Microvan,185480,1461,Diesel,Manual,7550,7,26497,high,Low-capacity
BMW,7 Series,2009,Sedan,215210,3000,Diesel,Automatic,16500,13,16554,medium,Mid-capacity
Volkswagen,Polo,2007,Hatchback,305988,1400,Diesel,Manual,3250,15,20399,high,Low-capacity
BMW,5 Series,2014,Sedan,231250,2000,Diesel,Automatic,18000,8,28906,high,Mid-capacity
Vaz,2121niva,2004,Minivan,12000,1700,Petrol,Manual,1800,18,666,low,Low-capacity
BMW,5 Series,1998,Sedan,11111,2500,Petrol,Manual,3200,24,462,low,Mid-capacity
Nissan,Pulsar,2014,Hatchback,87100,1200,Petrol,Manual,7950,8,10887,medium,Low-capacity
Toyota,Avensis,2000,Sedan,420000,1600,Metan/Propan,Manual,2999,22,19090,high,Low-capacity
Honda,CR-V,2002,Universal,275100,2000,Petrol,Manual,5900,20,13755,medium,Mid-capacity
BMW,5 Series,2015,Sedan,180236,2000,Diesel,Automatic,21500,7,25748,high,Mid-capacity
Honda,CR-V,2010,Crossover,183000,2200,Diesel,Manual,12999,12,15250,medium,Mid-capacity
Nissan,Note,2011,Hatchback,195000,1500,Diesel,Manual,5250,11,17727,medium,Low-capacity
Volkswagen,Passat,1993,Universal,311254,2000,Metan/Propan,Manual,29000,29,10732,medium,Mid-capacity
Toyota,Avensis,2000,Sedan,420000,1600,Metan/Propan,Manual,2999,22,19090,high,Low-capacity
Honda,CR-V,2002,Universal,275100,2000,Petrol,Manual,5900,20,13755,medium,Mid-capacity
BMW,5 Series,2015,Sedan,180236,2000,Diesel,Automatic,21500,7,25748,high,Mid-capacity
Honda,CR-V,2010,Crossover,183000,2200,Diesel,Manual,12999,12,15250,medium,Mid-capacity
Nissan,Note,2011,Hatchback,195000,1500,Diesel,Manual,5250,11,17727,medium,Low-capacity
Volkswagen,Passat,1993,Universal,311254,2000,Metan/Propan,Manual,29000,29,10732,medium,Mid-capacity
Opel,Astra,2010,Hatchback,190000,1300,Diesel,Manual,6500,12,15833,medium,Low-capacity
Skoda,Rapid,2016,Universal,116000,1598,Petrol,Automatic,10300,6,19333,high,Low-capacity
Volkswagen,Sharan,2006,Minivan,250000,2000,Diesel,Manual,6900,16,15625,medium,Mid-capacity
Nissan,Qashqai,2015,Crossover,149000,1200,Petrol,Automatic,12500,7,21285,high,Low-capacity
Skoda,Superb,2016,Sedan,170000,2000,Diesel,Automatic,17490,6,28333,high,Mid-capacity
Toyota,Land Cruiser,2001,SUV,250000,4700,Metan/Propan,Automatic,9990,21,11904,medium,Large-capacity
Toyota,Corolla,2006,Universal,256000,1400,Diesel,Manual,5490,16,16000,medium,Low-capacity
Mazda,Tribute,2002,SUV,255000,2000,Petrol,Manual,3990,20,12750,medium,Mid-capacity
Chevrolet,Volt,2011,Hatchback,190000,1400,Plug-in Hybrid,Automatic,9150,11,17272,medium,Low-capacity
Mercedes,GLE Coupe,2019,Crossover,24000,3000,Petrol,Automatic,51000,3,8000,low,Mid-capacity
Volkswagen,Passat,2002,Universal,270000,1800,Petrol,Manual,2550,20,13500,medium,Mid-capacity
Volkswagen,Touareg,2010,SUV,235000,3000,Diesel,Automatic,20950,12,19583,high,Mid-capacity
BMW,5 Series,2000,Sedan,254604,2500,Petrol,Manual,4500,22,11572,medium,Mid-capacity
Renault,Megane,2009,Universal,165000,1500,Diesel,Manual,4999,13,12692,medium,Low-capacity
Toyota,C-HR,2017,Crossover,115000,1800,Hybrid,Automatic,17999,5,23000,high,Mid-capacity
